tic_id,category,subcategory,road_name,distance,text,areas
DgAAAAswIC8hIx0wLTkhLwUwIgU3NgM4PQIvMAMgKwInKgMwPgE/IwM4PQI3MwcgKwInLw0ANzoGLyUBJyAILyUBLykELz4BLzsF,2,9,,0,"Stuttgart, Leitzstraße
zwischen Junghansstraße und Sieglestraße
gesperrt, Baustelle, eine Umleitung ist eingerichtet, bis voraussichtlich 19.12.2025 | Feuerbach | Stuttgart",
QAAAAAs0Iyo9Ih06LzIrLwU0Ngc+PDADOCQCODcKKCMEMC8VMCUBICgGOCQCODcKOC8EODYcIBk4Mwc3PxA4Oz8BLzADKC4GJyIWIDAlAQ==,2,8,,31.77,"Stuttgart-Bad Cannstatt, Pragstraße
zwischen Rosensteintunnel und Neckartalstraße
in beiden Richtungen Baustelle, geänderte Verkehrsregelung, geänderte Verkehrsführung im Baustellenbereich, bis voraussichtlich 31.07.2026 | Bad Cannstatt | Stuttgart",
EgAAAAswLTQtIR04OD0wLgUvDC87BScGPyMDNysBPz0KJx83OgY/GD8uBScfNyEGLyUBPyAHLyUBJy4GNysBPyAHLSECISIK,2,9,,0,"Stuttgart, Vaihinger Straße
zwischen Rembrandtstraße und Filderbahnstraße
gesperrt, Baustelle, bis voraussichtlich 19.12.2025 | Möhringen | Stuttgart",
XQAAAAsqOC0zPhw6Iys5KQUzNC0COD0wBT0rBzYsDC85EDAwHC8mCCAiDictMQEoNjADPycGOC82ATA+ASg3LAEgMgE4NA4oOAEgNA8nICEBMDUjBQ==,2,7,,16.09,"B296 Bad Wildbad Richtung Tübingen
zwischen A81, Herrenberg und Abzweig nach Breitenholz
Unfall mit Verletzten mit 2 Fahrzeugen, gesperrt, Polizei ist vor Ort | Herrenberg | Böblingen",
ugAAAAsoPiIsNhw4PCYyOwU/IDICLyk2AS84OwE/ODIBLysSNyoTNyMULz0TNyYQLy4OJzctCCcpLgE3OC4EKD0vAzcpMhEnPjYDLzQfNzkxASciLAUnJT0C,2,7,,0,"B30 Ulm Richtung Ravensburg
zwischen Biberach-Nord und Biberach-Süd/Jordanei
Gefahr durch Reifenteile auf allen Fahrstreifen, defekter LKW auf dem Standstreifen | Maselheim | Biberach",
QwEAAAs4Nj0tLh0oMDU2NAUoPisBKDsWODsNMCYIKCgOIDMILDomCTwuMg08OD4NNCg4ETAxCjgqEzgtDzg9GzgzByg2DDgoBSAzCDApPgcwKiYP,2,7,,0,"A81 Heilbronn - Würzburg
zwischen Osterburken und Boxberg
in beiden Richtungen Gefahr durch verschmutzte Fahrbahn | Ravenstein | Neckar-Odenwald-Kreis",
iwAAAAsoNT8tLh0wISQhIwUwPTsGJzYlATgvLwI/MCwBMDQfJzoPIC0QJycHKC8/AT80Fig2DD8jAzA8DDc9Ajg/ECcqAygzEC83AjA1PQwoMxA=,2,7,,0,"A6 Heilbronn Richtung Mannheim
zwischen Mannheim/Schwetzingen und Kreuz Mannheim
defekter LKW auf dem Standstreifen, Gefahr durch Gegenstände (mehrere Plastikteile) auf der Fahrbahn, rechter Fahrstreifen gesperrt | Schwetzingen | Rhein-Neckar-Kreis",
AwAAAAMiNToiIx0kMiw+LgUuJwMsLAMiPAMiIgQ=,2,9,,34.41,"Stuttgart, Kruppstraße
zwischen B295, Siemensstraße und Magirusstraße
in beiden Richtungen gesperrt, Baustelle, bis voraussichtlich 31.12.2025 | Feuerbach | Stuttgart",
DAAAAAsoMC8+Ih0oLjczLwUnOAE3NwonMQIvJw8vJQEnJwcnHz8gBz8YNz0CLww3KwEvDCcfPxgnHzcSLww/GCcG,2,9,,0,"Stuttgart, Haldenstraße
in Höhe Pragstraße
gesperrt, Baustelle, bis voraussichtlich 31.07.2026 | Bad Cannstatt | Stuttgart",
LwAAAAsoOys0IR04MjIvLQUoLRgvIgUoIAgoHzAiBTgSICotASAsIgEgKwI4Nwo4KwEoNQU4JAIwJgg4MwcoNDABIBkwORA3KB44JikB,2,9,,0,"Stuttgart, Allmandring bis Pfaffenwaldring
zwischen Nobelstraße und Universitätsstraße
gesperrt, Baustelle, geänderte Verkehrsführung, Einbahnstraßenregelung, bis voraussichtlich 29.12.2025 | Vaihingen | Stuttgart",
EgAAAAsqPycrIh04Ji4jLwU5LAEkOAQzJAEkPAMjIgE4MwMnHygqAycfOD0CPxg4JAInOAEwMAMvLQcwJggvPgE4KwE3PQIgKwI=,2,9,,12.3,"B27 Stuttgart, Richard-von-Weizsäcker-Planie
zwischen Planietunnel und Charlottenplatz
rechte Fahrstreifen gesperrt am Tunnelausgang, Weihnachtsmarkt, bis voraussichtlich 23.12.2025 | Mitte | Stuttgart",
IQAAAAswIy0oKxwwLSUgNAQvPwg/KgI/NxI/NQQvKgsvNwIvJRovNAYvIyUBNyUJJy0YJzUFNzI9Azc/EDczBygGJyIoAjAjDC86FyguBg==,2,7,,111.67,"A861 Dreieck Hochrhein Richtung Grenzübergang Rheinfelden
zwischen Rheinfelden-Mitte und Grenzübergang Rheinfelden
1 km Stau für LKW auf dem rechten Fahrstreifen | Rheinfelden (Baden) | Lörrach",
+gAAAAsoOSQtMBwwLzYqKwUvMDUBJy0gByc+JAI/Lz8IPzUEPzATLzcqBi8sPyoBOTQWOyYxASUqFDMkLAE/IhUvLy4BJzkIPzcSJyU9Ai8+KQYvJiEBLygoAg==,2,7,,0,"A98 Stockach Richtung Schaffhausen
zwischen Stockach-West und Kreuz Hegau
rechter Fahrstreifen gesperrt, Verkehr wird an der Unfallstelle vorbeigeführt, Reinigungsarbeiten auf dem rechten Fahrstreifen und dem Standstreifen | Stockach | Konstanz",
