agency_id,agency_name,agency_url,agency_timezone
"vpe-1","Betrieb","http://www.vpe.de","Europe/Berlin"
"tub-01","Hohenz.Landesbahn GmbH","https://www.naldo.de","Europe/Berlin"
"tub-03","Kreisverkehrsbetrieb","https://www.naldo.de","Europe/Berlin"
"tub-07","RSV","https://www.naldo.de","Europe/Berlin"
"tub-08","Stadt Rottenburg a.N","https://www.naldo.de","Europe/Berlin"
"tub-09","Stadtverkehr Tüb.","https://www.naldo.de","Europe/Berlin"
"tub-10","WEG GmbH","https://www.naldo.de","Europe/Berlin"
"tub-15","Edel Reisen","https://www.naldo.de","Europe/Berlin"
"tub-1000","Sailer Reisen GmbH","https://www.naldo.de","Europe/Berlin"
"tub-19","Blanko","https://www.naldo.de","Europe/Berlin"
"tub-89","Mietwagen Vollstädt","https://www.naldo.de","Europe/Berlin"
"tub-22","Beck GmbH","https://www.naldo.de","Europe/Berlin"
"tub-30","Eissler Reisen GmbH","https://www.naldo.de","Europe/Berlin"
"tub-31","Frankenhauser","https://www.naldo.de","Europe/Berlin"
"tub-33","Omnibus Groß GmbH","https://www.naldo.de","Europe/Berlin"
"tub-39","Kurz GmbH","https://www.naldo.de","Europe/Berlin"
"tub-35","Leibfritz GmbH","https://www.naldo.de","Europe/Berlin"
"tub-36","HVB Wiest + Schürmann Hechinger Verkehrsbetriebsges. mbH","https://www.naldo.de","Europe/Berlin"
"tub-38","Willy Kopp","https://www.naldo.de","Europe/Berlin"
"tub-41","Wilhelm Lutz","https://www.naldo.de","Europe/Berlin"
"tub-42","Maas GmbH","https://www.naldo.de","Europe/Berlin"
"tub-44","Reisch GmbH","https://www.naldo.de","Europe/Berlin"
"tub-49","Stadtwerke Bad Urach","https://www.naldo.de","Europe/Berlin"
"tub-1001","Minicar Mietwagen GmbH","https://www.naldo.de","Europe/Berlin"
"tub-55","SVL GmbH & Co. KG","https://www.naldo.de","Europe/Berlin"
"tub-61","Bayer-Reisen","https://www.naldo.de","Europe/Berlin"
"tub-68","Bürgerbusverein e.V.","https://www.naldo.de","Europe/Berlin"
"tub-69","Stadtwerke Sigmar.","https://www.naldo.de","Europe/Berlin"
"tub-71","Omnibus Müller","https://www.naldo.de","Europe/Berlin"
"tub-40","Kurzenberger StammVU","https://www.naldo.de","Europe/Berlin"
"tub-79","Rufbus Zollernalb","https://www.naldo.de","Europe/Berlin"
"tub-80","SWEG Bus Tübingen GmbH","https://www.naldo.de","Europe/Berlin"
"tub-90","Fahrtenservice Knoll","https://www.naldo.de","Europe/Berlin"
"tub-93","Fa. Taxi XXL GmbH","https://www.naldo.de","Europe/Berlin"
"tub-97","Taxizentrale Tübingen","https://www.naldo.de","Europe/Berlin"
"rab-RAB","rab","https://meine-rab.de","Europe/Berlin"
"vhb-SW-KN","SWK_B","https://www.vhb-info.de","Europe/Berlin"
"vhb-LRAKN","LK2","https://www.vhb-info.de","Europe/Berlin"
"vhb-SINGEN","Stadtverkehr Singen","https://www.vhb-info.de","Europe/Berlin"
"tvv-1","TUT","https://tuticket.de","Europe/Berlin"
"din-83","Süddeutsche Verkehrslinien","https://www.ding.eu","Europe/Berlin"
"din-51","Bayer","https://www.ding.eu","Europe/Berlin"
"din-67","RAB","https://www.ding.eu","Europe/Berlin"
"din-86","Stadtwerke Biberach","https://www.ding.eu","Europe/Berlin"
"din-73","Klemens Diesch","https://www.ding.eu","Europe/Berlin"
"din-81","Diesch GmbH","https://www.ding.eu","Europe/Berlin"
"din-68","Gairing NU","https://www.ding.eu","Europe/Berlin"
"din-32","Probst","https://www.ding.eu","Europe/Berlin"
"din-44","HVG","https://www.ding.eu","Europe/Berlin"
"din-54","Fromm","https://www.ding.eu","Europe/Berlin"
"din-56","Klöpfer","https://www.ding.eu","Europe/Berlin"
"din-63","Walk","https://www.ding.eu","Europe/Berlin"
"din-66","SWU","https://www.ding.eu","Europe/Berlin"
"din-84","RBA","https://www.ding.eu","Europe/Berlin"
"din-69","Weidachstein","https://www.ding.eu","Europe/Berlin"
